Размер  Элементов  Операций    Чтение(мс)  Умножение(мс)  Запись(мс)  Всего(мс)
10       100         1000       1          0             2         6
20       400         8000       45          0             2         50
30       900         27000       36          0             6         46
40       1600         64000       39          0             9         51
70       4900         343000       49          2             17         72
90       8100         729000       48          6             29         87
100       10000         1000000       59          8             34         104
150       22500         3375000       121          31             74         230
200       40000         8000000       184          67             134         389
300       90000         27000000       343          245             320         913
500       250000         125000000       835          1237             897         2973
1000       1000000         1000000000       3232          15518             6643         25397
