MatrixSize,Processes,SequentialTime_ms,ParallelTime_ms
200,1,73.94,62.49
200,2,73.23,33.50
200,4,74.00,35.05
200,8,74.04,21.70
400,1,612.86,507.87
400,2,639.00,278.55
400,4,601.06,232.48
400,8,626.69,186.48
800,1,5328.38,4312.15
800,2,5287.27,2529.60
800,4,5515.86,1676.83
800,8,5361.03,1658.60
1200,1,18437.90,15180.24
1200,2,17880.68,8386.76
1200,4,17682.37,5169.95
1200,8,17859.02,5421.24
1600,1,41871.98,35351.18
1600,2,42161.88,19965.30
1600,4,42495.47,12397.95
1600,8,42398.37,13465.08
2000,1,81577.40,72313.37
2000,2,81355.72,39578.26
2000,4,82313.04,26145.87
2000,8,81703.50,27059.90
